name,Reference,inchi,Organism,DetectedBy,TypeOfExperiment,TypeOfDetection,Comments,,,
Molybdate,,InChI=1S/Mo.4O,,ModR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=147,,,
Sucrose-6-phosphate,,"InChI=1S/C12H23O14P/c13-1-4-7(16)10(19)12(3-14,25-4)26-11-9(18)8(17)6(15)5(24-11)2-23-27(20,21)22/h4-11,13-19H,1-3H2,(H2,20,21,22)/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1",,ScrR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=65,,,
Quinate,,"InChI=1S/C7H12O6/c8-3-1-7(13,6(11)12)2-4(9)5(3)10/h3-5,8-10,13H,1-2H2,(H,11,12)/t3-,4-,5?,7?/m1/s1",,QsuR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=254,,,
Ornithine,,"InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)",,RocR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=194,,,
Deoxyfructosyl glutamine,,,,SocR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=320,,,
"HPr, phosphocarrier protein",,,,GutR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=53,,,
2-oxoglutarate,,"InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)",,GltC,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=132,,,
"LiaS, sensor histidine kinase (bacitracin, nisin, ramoplanin, vancomycin)",,,,LiaR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=231,,,
2-keto-D-gluconate,,"InChI=1S/C6H10O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-4,7-10H,1H2,(H,12,13)",,PtxS,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=323,,,
New effector,,,,PdxR2(2),,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=93,,,
Xanthosine,,"InChI=1S/C10H12N4O6/c15-1-3-5(16)6(17)9(20-3)14-2-11-4-7(14)12-10(19)13-8(4)18/h2-3,5-6,9,15-17H,1H2,(H2,12,13,18,19)/t3-,5-,6-,9-/m1/s1",,XapR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=242,,,
Nitrite,,"InChI=1S/HNO2/c2-1-3/h(H,2,3)/p-1",,NrfR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=71,,,
Pyridoxal-5-phosphate,,"InChI=1S/C8H10NO6P/c1-5-8(11)7(3-10)6(2-9-5)4-15-16(12,13)14/h2-3,11H,4H2,1H3,(H2,12,13,14)",,PdxQ2,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=155,,,
Val-tRNA,,,,T-box(Val),,RNA,Extracted from RegPrecise v4.0 (20170227): effector_id=125,,,
Fructose,,"InChI=1S/C6H12O6/c7-2-6(11)5(10)4(9)3(8)1-12-6/h3-5,7-11H,1-2H2/t3-,4-,5+,6?/m1/s1",,HTCS_Fru,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=76,,,
L-idonate,,"InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)/t2-,3+,4-,5+/m0/s1",,IdnR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=271,,,
N-acetylglucosamine,,"InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)",,NanR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=115,,,
Gly-tRNA,,,,T-box(Gly),,RNA,Extracted from RegPrecise v4.0 (20170227): effector_id=55,,,
S-adenosylmethionine,,"InChI=1S/C15H22N6O5S/c1-27(3-2-7(16)15(24)25)4-8-10(22)11(23)14(26-8)21-6-20-9-12(17)18-5-19-13(9)21/h5-8,10-11,14,22-23H,2-4,16H2,1H3,(H2-,17,18,19,24,25)",,SAM_alpha,,RNA,Extracted from RegPrecise v4.0 (20170227): effector_id=47,,,
Uracil,,"InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)",,RutR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=105,,,
Galactosamine-6-phosphate,,"InChI=1S/C6H14NO8P/c7-3-5(9)4(8)2(15-6(3)10)1-14-16(11,12)13/h2-6,8-10H,1,7H2,(H2,11,12,13)",,AgaR2,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=281,,,
S-adenosylhomocysteine,,"InChI=1S/C14H20N6O5S/c15-6(14(23)24)1-2-26-3-7-9(21)10(22)13(25-7)20-5-19-8-11(16)17-4-18-12(8)20/h4-7,9-10,13,21-22H,1-3,15H2,(H,23,24)(H2,16,17,18)/t6-,7+,9+,10+,13+/m0/s1",,SahR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=174,,,
Galactose,,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3+,4+,5-,6?/m1/s1",,GalR2,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=10,,,
2-aminoethylphosphonate,,"InChI=1S/C2H8NO3P/c3-1-2-7(4,5)6/h1-3H2,(H2,4,5,6)",,PhnR2,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=273,,,
Oxygen,,InChI=1S/O2/c1-2,,FnrN/FixK/AadR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=22,,,
Guanine,,"InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)",,PurR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=78,,,
Bis-indoles,,"InChI=1S/C17H14N2/c1-3-7-16-14(5-1)12(10-18-16)9-13-11-19-17-8-4-2-6-15(13)17/h1-8,10-11,18-19H,9H2",,MepR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=19,,,
His-tRNA,,,,T-box(His),,RNA,Extracted from RegPrecise v4.0 (20170227): effector_id=148,,,
"ComP, sensor histidine kinase (ComX)",,,,ComA,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=94,,,
p-aminobenzoyl-glutamate,,"InChI=1S/C12H14N2O5/c13-8-3-1-7(2-4-8)11(17)14-9(12(18)19)5-6-10(15)16/h1-4,9H,5-6,13H2,(H,14,17)(H,15,16)(H,18,19)/p-2/t9-/m0/s1",,AbgR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=60,,,
S-adenosylhomocysteine,,"InChI=1S/C14H20N6O5S/c15-6(14(23)24)1-2-26-3-7-9(21)10(22)13(25-7)20-5-19-8-11(16)17-4-18-12(8)20/h4-7,9-10,13,21-22H,1-3,15H2,(H,23,24)(H2,16,17,18)/t6-,7+,9+,10+,13+/m0/s1",,SAM-SAH,,RNA,Extracted from RegPrecise v4.0 (20170227): effector_id=174,,,
N-acetylgalactosamine-6-phosphate,,,,AgaR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=280,,,
Branched-chain amino acids,,"InChI=1S/2C6H13NO2.C5H11NO2/c1-4(2)3-5(7)6(8)9;1-3-4(2)5(7)6(8)9;1-3(2)4(6)5(7)8/h2*4-5H,3,7H2,1-2H3,(H,8,9);3-4H,6H2,1-2H3,(H,7,8)/t5-;4-,5-;4-/m000/s1",,CodY,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=97,,,
Methicillin,,"InChI=1S/C17H20N2O6S/c1-17(2)12(16(22)23)19-14(21)11(15(19)26-17)18-13(20)10-8(24-3)6-5-7-9(10)25-4/h5-7,11-12,15H,1-4H3,(H,18,20)(H,22,23)/t11-,12+,15-/m1/s1",,MecI,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=161,,,
"Cadmium, ion (Cd2+)",,InChI=1S/Cd/q+2,,CadR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=152,,,
Tryptophan,,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)",,TrpR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=51,,,
Xylose,,"InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2/t2-,3+,4-,5?/m1/s1",,XylR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=216,,,
Hyaluronate oligosaccharide phosphate,,,,RegR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=332,,,
"SaeS, sensor histidine kinase",,,,SaeR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=151,,,
Nitric oxide,,InChI=1S/NO/c1-2,,NsrR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=211,,,
Glucose,,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1",,BglR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=146,,,
Maltose,,"InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2",,MalR2,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=137,,,
2-keto-3-deoxygluconate,,"InChI=1S/C6H10O6/c7-2-5(10)3(8)1-4(9)6(11)12/h3,5,7-8,10H,1-2H2,(H,11,12)",,KdgR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=108,,,
Glucose,,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1",,BglR3,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=146,,,
Pro-tRNA,,,,T-box(Pro),,RNA,Extracted from RegPrecise v4.0 (20170227): effector_id=62,,,
Sorbose,,"InChI=1S/C6H12O6/c7-2-6(11)5(10)4(9)3(8)1-12-6/h3-5,7-11H,1-2H2/t3-,4+,5-,6?/m0/s1",,SorC,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=274,,,
Rhamnose,,"InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6?/m0/s1",,RhaS,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=69,,,
Beta-galactosides,,,,SAV1329,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=338,,,
"Copper ion, (Cu+)",,InChI=1S/Cu,,CueR2,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=11,,,
Molybdate,,InChI=1S/Mo.4O,,,2*-1,,TunR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=147
S-adenosylmethionine,,"InChI=1S/C15H22N6O5S/c1-27(3-2-7(16)15(24)25)4-8-10(22)11(23)14(26-8)21-6-20-9-12(17)18-5-19-13(9)21/h5-8,10-11,14,22-23H,2-4,16H2,1H3,(H2-,17,18,19,24,25)",,SamR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=47,,,
"Copper ion, (Cu+)",,InChI=1S/Cu,,YcnK,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=11,,,
Glucosamine-6-phosphate,,"InChI=1S/C6H14NO8P/c7-3-5(9)4(8)2(15-6(3)10)1-14-16(11,12)13/h2-6,8-10H,1,7H2,(H2,11,12,13)",,GamR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=153,,,
Arabinan,,,,HTCS_Ara-1,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=289,,,
"Guanosine 3',5'-bis(diphosphate)",,"InChI=1S/C10H17N5O17P4/c11-10-13-7-4(8(17)14-10)12-2-15(7)9-5(16)6(30-36(26,27)32-34(21,22)23)3(29-9)1-28-35(24,25)31-33(18,19)20/h2-3,5-6,9,16H,1H2,(H,24,25)(H,26,27)(H2,18,19,20)(H2,21,22,23)(H3,11,13,14,17)",,LeuO,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=239,,,
"HssS, sensor histidine kinase (heme)",,,,HssR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=214,,,
N-acetylgalactosamine,,"InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)",,AgaR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=180,,,
Thiosulfate,,"InChI=1S/H2O3S2/c1-5(2,3)4/h(H2,1,2,3,4)/p-2",,PhsR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=135,,,
"Nickel ion, (Ni2+)",,InChI=1S/Ni,,CzrA,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=46,,,
"Copper ion, (Cu+)",,InChI=1S/Cu,,CsoR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=11,,,
Beta-glucoside-6-phosphate,,,,BglR2,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=192,,,
Gluconate,,"InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)",,GntR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=131,,,
2-oxoglutarate,,"InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)",,NtcA,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=132,,,
Galacturonate,,"InChI=1S/C6H10O7/c7-1-2(8)4(5(10)11)13-6(12)3(1)9/h1-4,6-9,12H,(H,10,11)/t1-,2+,3+,4-,6-/m0/s1",,AlgR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=183,,,
Homogentisate,,"InChI=1S/C8H8O4/c9-6-1-2-7(10)5(3-6)4-8(11)12/h1-3,9-10H,4H2,(H,11,12)",,HmgR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=336,,,
Tyrosine,,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",,TyrR2,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=49,,,
Proflavin,,"InChI=1S/C13H11N3/c14-10-3-1-8-5-9-2-4-11(15)7-13(9)16-12(8)6-10/h1-7H,14-15H2",,AcrR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=170,,,
Unsaturated acyl-ACP,,,,FabR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=189,,,
Thiamine phosphate,,"InChI=1S/C12H17N4O4PS/c1-8-11(3-4-20-21(17,18)19)22-7-16(8)6-10-5-14-9(2)15-12(10)13/h5,7H,3-4,6H2,1-2H3,(H3-,13,14,15,17,18,19)/p+1",,ThiR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=358,,,
S-adenosylhomocysteine,,"InChI=1S/C14H20N6O5S/c15-6(14(23)24)1-2-26-3-7-9(21)10(22)13(25-7)20-5-19-8-11(16)17-4-18-12(8)20/h4-7,9-10,13,21-22H,1-3,15H2,(H,23,24)(H2,16,17,18)/t6-,7+,9+,10+,13+/m0/s1",,McbR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=174,,,
Asparagine,,"InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1",,AnsR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=124,,,
Arsenate,,"InChI=1S/AsH3O4/c2-1(3,4)5/h(H3,2,3,4,5)/p-3",,ArsR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=7,,,
Formate,,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)/p-1",,PflR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=72,,,
Arabinogalactan oligosaccharides,,,,HTCS_Aga-1,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=306,,,
Pyridoxal-5-phosphate,,"InChI=1S/C8H10NO6P/c1-5-8(11)7(3-10)6(2-9-5)4-15-16(12,13)14/h2-3,11H,4H2,1H3,(H2,12,13,14)",,PdxW2,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=155,,,
Galactarate,,"InChI=1S/C6H10O8/c7-1(3(9)5(11)12)2(8)4(10)6(13)14/h1-4,7-10H,(H,11,12)(H,13,14)/t1-,2+,3+,4-",,GarR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=348,,,
Alpha-mannans,,,,HTCS_Man-1,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=307,,,
Xanthine,,"InChI=1S/C5H4N4O2/c10-4-2-3(7-1-6-2)8-5(11)9-4/h1H,(H3,6,7,8,9,10,11)",,HpxR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=334,,,
"Zinc ion, (Zn2+)",,InChI=1S/Zn,,ZraR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=112,,,
Sulfate,,"InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)/p-2",,SutR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=99,,,
"Iron ion, (Fe2+)",,InChI=1S/Fe,,Mur,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=119,,,
Nitrite,,"InChI=1S/HNO2/c2-1-3/h(H,2,3)/p-1",,DVU0621,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=71,,,
Unsaturated acyl-CoA,,,,DesT,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=165,,,
Gamma-aminobutyric acid,,"InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)",,GabR2,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=24,,,
Molybdate,,InChI=1S/Mo.4O,,,2*-1,,ModE2,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=147
Niacin,,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",,NiaR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=208,,,
Heat shock,,,,HrcA,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=150,,,
Allolactose,,"InChI=1S/C12H22O11/c13-1-3-5(14)8(17)10(19)12(23-3)21-2-4-6(15)7(16)9(18)11(20)22-4/h3-20H,1-2H2",,LacI,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=340,,,
Aldotetraouronic acid,,"InChI=1S/C22H36O19/c1-34-15-11(27)14(30)21(41-17(15)18(31)32)40-16-8(24)5(23)2-36-22(16)39-7-4-37-20(13(29)10(7)26)38-6-3-35-19(33)12(28)9(6)25/h5-17,19-30,33H,2-4H2,1H3,(H,31,32)/t5-,6-,7-,8+,9+,10+,11-,12-,13-,14-,15+,16-,17+,19?,20+,21+,22+/m1/s1",,UxuR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=250,,,
Beta-galactosides,,,,EbgR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=338,,,
Diamide,,InChI=1S/C6H12N4O2/c1-9(2)5(11)7-8-6(12)10(3)4/h1-4H3/b8-7+,,OhrR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=67,,,
Quercetin,,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",,LmrA,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=191,,,
Unsaturated acyl-ACP,,,,FabR2,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=189,,,
Phenylalanine,,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)",,PhhR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=128,,,
Molybdenum,,InChI=1S/Mo,,MOCO_RNA_motif,,RNA,Extracted from RegPrecise v4.0 (20170227): effector_id=195,,,
N-acetylglucosamine,,"InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)",,NagR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=115,,,
Malonyl-CoA,,"InChI=1S/C24H38N7O19P3S/c1-24(2,19(37)22(38)27-4-3-13(32)26-5-6-54-15(35)7-14(33)34)9-47-53(44,45)50-52(42,43)46-8-12-18(49-51(39,40)41)17(36)23(48-12)31-11-30-16-20(25)28-10-29-21(16)31/h10-12,17-19,23,36-37H,3-9H2,1-2H3,(H,26,32)(H,27,38)(H,33,34)(H,42,43)(H,44,45)(H2,25,28,29)(H2,39,40,41)",,FapR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=16,,,
Beta-glucoside,,,,Caur_3866,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=34,,,
Quercetin,,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",,QdoR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=191,,,
"Mercury ion, (Hg2+)",,InChI=1S/Hg,,MerR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=316,,,
2-methylcitrate,,"InChI=1S/C7H10O7/c1-3(5(10)11)7(14,6(12)13)2-4(8)9/h3,14H,2H2,1H3,(H,8,9)(H,10,11)(H,12,13)",,PrpR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=92,,,
Alpha-glucoside,,,,AglR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=329,,,
"Zinc ion, (Zn2+)",,InChI=1S/Zn,,ZntR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=112,,,
Cyclic diguanylate,,"InChI=1S/C20H24N10O14P2/c21-19-25-13-7(15(33)27-19)23-3-29(13)17-9(31)11-5(41-17)1-39-45(35,36)44-12-6(2-40-46(37,38)43-11)42-18(10(12)32)30-4-24-8-14(30)26-20(22)28-16(8)34/h3-6,9-12,17-18,31-32H,1-2H2,(H,35,36)(H,37,38)(H3,21,25,27,33)(H3,22,26,28,34)/t5-,6-,9-,10-,11-,12-,17-,18-/m1/s1",,GEMM_RNA_motif,,RNA,Extracted from RegPrecise v4.0 (20170227): effector_id=196,,,
"Lead ion, (Pb2+)",,,,CadR-PbrR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=317,,,
Nitrite,,"InChI=1S/HNO2/c2-1-3/h(H,2,3)/p-1",,NtcB,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=71,,,
2-keto-3-deoxy-6-phosphogluconate,,"InChI=1S/C6H11O9P/c7-3(1-4(8)6(10)11)5(9)2-15-16(12,13)14/h3,5,7,9H,1-2H2,(H,10,11)(H2,12,13,14)/t3-,5+/m0/s1",,HexR1,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=75,,,
"Silver ion, (Ag+)",,InChI=1S/Ag,,CzrA,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=23,,,
Cys-tRNA,,,,T-box(Cys),,RNA,Extracted from RegPrecise v4.0 (20170227): effector_id=206,,,
Sulfite,,"InChI=1S/H2O3S/c1-4(2)3/h(H2,1,2,3)/p-2",,SsuR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=70,,,
Tyrosine,,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",,TyrR1,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=49,,,
Long-chain acyl-ACP,,,,FabT,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=63,,,
Beta-glucoside,,,,BglR1,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=34,,,
"NrgA, ammonium uptake protein",,,,TnrA,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=236,,,
S-adenosylmethionine,,"InChI=1S/C15H22N6O5S/c1-27(3-2-7(16)15(24)25)4-8-10(22)11(23)14(26-8)21-6-20-9-12(17)18-5-19-13(9)21/h5-8,10-11,14,22-23H,2-4,16H2,1H3,(H2-,17,18,19,24,25)",,McbR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=47,,,
Sulfate,,"InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)/p-2",,CysL,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=99,,,
Mannose,,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5+,6?/m1/s1",,ManR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=121,,,
Formaldehyde,,InChI=1S/CH2O/c1-2/h1H2,,NmlR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=89,,,
Betaine,,"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3",,BusR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=27,,,
"SdpI, signal transduction protein",,,,SdpR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=167,,,
"Zinc ion, (Zn2+)",,InChI=1S/Zn,,CzrA,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=112,,,
Glutamate,,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)",,GltC2,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=134,,,
Glyoxylate,,"InChI=1S/C2H2O3/c3-1-2(4)5/h1H,(H,4,5)",,IclR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=126,,,
Citrate,,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)/p-3",,CitB,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=111,,,
S-adenosylmethionine,,"InChI=1S/C15H22N6O5S/c1-27(3-2-7(16)15(24)25)4-8-10(22)11(23)14(26-8)21-6-20-9-12(17)18-5-19-13(9)21/h5-8,10-11,14,22-23H,2-4,16H2,1H3,(H2-,17,18,19,24,25)",,MetJ,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=47,,,
Pyridoxal-5-phosphate,,"InChI=1S/C8H10NO6P/c1-5-8(11)7(3-10)6(2-9-5)4-15-16(12,13)14/h2-3,11H,4H2,1H3,(H2,12,13,14)",,PdxQ,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=155,,,
Rhamnulose-1-phosphate,,"InChI=1S/C6H13O8P/c1-3(7)5(9)6(10)4(8)2-14-15(11,12)13/h3,5-7,9-10H,2H2,1H3,(H2,11,12,13)/t3-,5+,6+/m0/s1",,RhaR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=360,,,
L-citrulline,,"InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1",,RocR,,transcription factor,Extracted from RegPrecise v4.0 (20170227): effector_id=38,,,
